image_name,pixel_0,pixel_1,pixel_2,pixel_3,pixel_4,pixel_5,pixel_6,pixel_7,pixel_8,pixel_9,pixel_10,pixel_11,pixel_12,pixel_13,pixel_14,pixel_15,pixel_16,pixel_17,pixel_18,pixel_19,pixel_20,pixel_21,pixel_22,pixel_23,pixel_24,pixel_25,pixel_26,pixel_27,pixel_28,pixel_29,pixel_30,pixel_31,pixel_32,pixel_33,pixel_34,pixel_35,pixel_36,pixel_37,pixel_38,pixel_39,pixel_40,pixel_41,pixel_42,pixel_43,pixel_44,pixel_45,pixel_46,pixel_47,pixel_48,pixel_49,pixel_50,pixel_51,pixel_52,pixel_53,pixel_54,pixel_55,pixel_56,pixel_57,pixel_58,pixel_59,pixel_60,pixel_61,pixel_62,pixel_63,pixel_64,pixel_65,pixel_66,pixel_67,pixel_68,pixel_69,pixel_70,pixel_71,pixel_72,pixel_73,pixel_74,pixel_75,pixel_76,pixel_77,pixel_78,pixel_79,pixel_80,pixel_81,pixel_82,pixel_83,pixel_84,pixel_85,pixel_86,pixel_87,pixel_88,pixel_89,pixel_90,pixel_91,pixel_92,pixel_93,pixel_94,pixel_95,pixel_96,pixel_97,pixel_98,pixel_99,pixel_100,pixel_101,pixel_102,pixel_103,pixel_104,pixel_105,pixel_106,pixel_107,pixel_108,pixel_109,pixel_110,pixel_111,pixel_112,pixel_113,pixel_114,pixel_115,pixel_116,pixel_117,pixel_118,pixel_119,pixel_120,pixel_121,pixel_122,pixel_123,pixel_124,pixel_125,pixel_126,pixel_127
000008.jpg,218.02614,65.90915,175.20049,0.0,219.63885,0.0,179.73714,192.71683,153.1393,0.0,134.12389,282.863,0.0,133.76251,137.5601,41.45155,86.664276,94.81304,0.0,0.0,0.0,0.0,0.0,132.20334,0.0,118.02442,80.48016,0.0,0.0,152.68587,0.0,117.49853,95.93306,0.0,141.47311,154.32155,133.36385,0.0,45.956444,305.54776,156.32414,0.0,107.58421,195.11745,0.0,218.52377,191.28009,246.41959,175.63344,0.0,236.9037,205.13757,0.0,0.0,197.17274,219.0686,0.0,130.90121,264.25214,81.47741,236.84001,157.74667,0.0,0.0,321.3039,40.61766,301.22845,144.5094,142.16325,0.0,0.0,180.67769,136.33679,191.21634,0.0,111.57194,107.23972,0.0,250.5448,348.86972,126.502815,0.0,0.0,177.43178,166.02571,253.59764,0.0,0.0,0.0,0.0,250.70964,209.12532,258.23422,125.92149,144.3571,0.0,271.53436,0.0,0.0,0.0,0.0,0.0,94.09016,134.1476,79.20214,161.48734,168.87538,229.22357,143.53403,61.454273,226.55139,0.0,149.1275,0.0,124.142876,117.036125,211.56334,0.0,249.2646,0.0,192.37828,0.0,0.0,148.04297,0.0,130.7004,100.71823,250.55911
000056.jpg,0.0,85.922,46.81539,0.0,282.8677,0.0,198.26765,272.39633,0.0,0.0,136.38573,300.7306,0.0,0.0,57.988693,64.77425,261.89227,211.9834,0.0,0.0,0.0,0.0,0.0,219.52353,0.0,216.52534,109.38558,0.0,0.0,46.367134,0.0,93.37377,210.83473,0.0,230.19302,262.22073,251.11726,0.0,102.931625,414.02383,130.85783,0.0,282.0733,216.65637,0.0,135.9226,217.00064,154.8979,168.67209,0.0,99.64104,79.65075,0.0,0.0,383.66302,213.28654,0.0,195.21735,278.6752,194.60435,15.144922,26.450233,0.0,0.0,390.18454,90.97807,361.40997,150.08498,289.65622,0.0,0.0,0.0,236.70135,167.95854,0.0,60.399376,106.856926,0.0,151.34703,266.94653,1.4627264,0.0,0.0,51.358875,45.933666,209.76651,0.0,0.0,0.0,0.0,245.86671,114.325966,138.53069,261.37418,178.47206,0.0,249.77016,0.0,0.0,0.0,0.0,0.0,211.09064,121.52981,312.2018,315.59824,46.02375,220.1068,266.5282,31.025906,235.68608,0.0,158.695,0.0,115.208534,291.2151,145.42369,0.0,273.55405,0.0,149.41902,0.0,0.0,354.36224,0.0,11.359313,263.49683,170.92885
000082.jpg,218.39233,152.57431,174.68065,0.0,236.74513,0.0,175.51569,21.150023,185.86229,0.0,123.768196,408.27515,0.0,61.038185,107.78653,106.98811,21.687359,116.17187,0.0,0.0,0.0,0.0,0.0,127.17527,0.0,84.60366,99.836624,0.0,0.0,37.239624,0.0,135.24963,132.49388,0.0,226.75348,191.64275,90.738754,0.0,170.72287,268.51944,93.36791,0.0,166.1657,158.85583,0.0,173.45796,152.46208,223.70218,152.60321,0.0,141.9246,113.538506,0.0,0.0,116.04526,85.96185,0.0,180.88264,286.78406,324.2889,142.24303,146.52493,0.0,0.0,232.7987,192.21172,303.84485,173.19623,47.61109,0.0,0.0,125.722755,151.03557,97.20478,0.0,88.18429,167.85915,0.0,90.52829,318.09943,42.43964,0.0,0.0,0.0,197.93698,180.73422,0.0,0.0,0.0,0.0,147.41539,138.88953,237.55048,277.3168,116.53437,0.0,269.62714,0.0,0.0,0.0,0.0,0.0,221.47202,107.67845,80.17852,196.27388,121.75836,89.69938,160.9549,100.11282,183.23695,0.0,157.7301,0.0,224.37857,139.2584,255.44041,0.0,125.84365,0.0,222.90547,0.0,0.0,32.06847,0.0,184.57814,81.69862,113.7476
000133.jpg,148.50262,181.89615,128.63188,0.0,87.48648,0.0,103.2339,158.27055,98.626274,0.0,179.58144,196.94366,0.0,99.25382,53.36757,161.13423,224.2853,117.298485,0.0,0.0,0.0,0.0,0.0,121.9434,0.0,68.97091,104.70944,0.0,0.0,181.6323,0.0,110.701805,127.80197,0.0,136.05037,185.23808,149.67737,0.0,105.734116,199.01764,49.926823,0.0,79.157776,98.019905,0.0,163.28564,96.06675,206.96504,83.842705,0.0,106.54834,156.48845,0.0,0.0,170.96017,144.54466,0.0,170.94736,180.19263,73.14891,148.3679,82.60007,0.0,0.0,332.70956,75.60262,180.19197,193.63492,168.492,0.0,0.0,125.37784,68.81278,118.43142,0.0,33.63769,192.3763,0.0,135.58217,261.0399,148.06416,0.0,0.0,131.2638,98.80105,122.39021,0.0,0.0,0.0,0.0,166.12517,41.42952,206.00958,134.83904,151.52896,0.0,132.25444,0.0,0.0,0.0,0.0,0.0,202.38292,72.2568,189.43398,177.95137,126.679016,196.34981,152.2341,156.99622,221.22708,0.0,152.30176,0.0,90.40636,156.77989,138.26074,0.0,43.6549,0.0,96.01354,0.0,0.0,205.62627,0.0,92.553444,77.38542,135.76753
000311.jpg,45.422733,86.64155,130.56631,0.0,298.6542,0.0,117.81187,168.93752,48.86315,0.0,198.13705,314.4449,0.0,293.7936,135.1325,215.38487,164.11275,111.534515,0.0,0.0,0.0,0.0,0.0,234.14189,0.0,250.65652,194.40071,0.0,0.0,152.63637,0.0,206.74861,86.62945,0.0,220.92145,379.93332,231.72153,0.0,126.008125,192.4047,187.64386,0.0,219.16286,264.00903,0.0,299.7458,83.0415,101.77668,236.4793,0.0,261.80655,233.9834,0.0,0.0,204.71227,236.81148,0.0,191.11784,127.188896,154.47173,212.04782,142.76271,0.0,0.0,294.61465,132.56914,166.891,73.50544,203.91034,0.0,0.0,81.567795,225.7128,174.23132,0.0,89.642365,360.642,0.0,162.56566,166.37209,181.10294,0.0,0.0,0.0,186.51007,228.2936,0.0,0.0,0.0,0.0,268.60315,91.64562,195.86975,244.86746,181.72383,0.0,212.73328,0.0,0.0,0.0,0.0,0.0,313.65323,175.6049,278.2503,317.40405,206.80316,53.26137,202.14691,178.03745,238.45468,0.0,117.77501,0.0,75.863495,272.9866,178.39853,0.0,281.0038,0.0,193.51273,0.0,0.0,387.76117,0.0,224.8633,187.29698,324.04785
000402.jpg,313.67648,107.96569,135.41104,0.0,66.82676,0.0,192.06206,173.20763,201.9076,0.0,150.91338,424.71326,0.0,85.665344,231.8114,345.7098,216.2164,104.44859,0.0,0.0,0.0,0.0,0.0,112.90623,0.0,174.89365,165.37296,0.0,0.0,242.29286,0.0,183.04274,141.86815,0.0,174.23302,137.42323,79.63107,0.0,112.3625,272.04764,120.01744,0.0,153.1814,146.71382,0.0,239.38055,222.81674,226.47156,148.45384,0.0,119.50029,89.92334,0.0,0.0,141.73573,176.43536,0.0,156.71098,203.95929,162.70508,135.58986,258.87823,0.0,0.0,365.7097,55.330696,415.9044,168.44315,166.79488,0.0,0.0,135.95995,60.4865,171.93791,0.0,97.709335,164.32825,0.0,122.44308,371.74237,119.34882,0.0,0.0,109.01477,147.6505,300.75903,0.0,0.0,0.0,0.0,97.002426,224.95511,170.71603,225.19684,28.275549,0.0,182.36932,0.0,0.0,0.0,0.0,0.0,163.3377,121.676506,64.96731,145.9118,165.72252,216.69946,124.86,212.4544,157.42436,0.0,161.43169,0.0,130.56268,114.820984,206.99364,0.0,109.06674,0.0,119.61376,0.0,0.0,156.21895,0.0,155.1156,14.170553,149.7158
000729.jpg,218.6985,79.62927,239.34459,0.0,182.01962,0.0,179.36713,162.17056,134.12929,0.0,161.3105,448.56308,0.0,71.4249,222.42651,114.2429,173.8571,324.77643,0.0,0.0,0.0,0.0,0.0,97.37846,0.0,127.51789,170.16396,0.0,0.0,272.35135,0.0,127.49833,152.6545,0.0,161.00446,280.75464,107.000534,0.0,153.74681,518.51495,141.49078,0.0,162.82233,217.44467,0.0,258.43314,221.15048,273.63644,157.33217,0.0,192.08623,155.55551,0.0,0.0,111.37029,77.90866,0.0,105.91425,131.58655,191.35883,171.9148,172.0955,0.0,0.0,464.3824,229.86421,300.32718,168.22717,182.55809,0.0,0.0,109.34379,164.49326,106.474655,0.0,89.080124,222.60703,0.0,61.6163,329.29965,158.11902,0.0,0.0,204.4648,209.09465,252.39793,0.0,0.0,0.0,0.0,377.89145,273.2779,376.2638,451.46997,109.28641,0.0,175.95058,0.0,0.0,0.0,0.0,0.0,0.0,233.74763,78.24827,251.64041,156.34647,175.73822,184.18127,200.40224,133.60098,0.0,273.8786,0.0,208.04118,117.48864,301.50644,0.0,123.2204,0.0,308.75357,0.0,0.0,92.76068,0.0,288.36838,171.24785,179.366
000730.jpg,204.5967,124.95612,259.96448,0.0,249.8876,0.0,167.8049,144.69377,167.09557,0.0,151.2136,596.5031,0.0,90.14307,202.32071,255.59383,235.52415,141.45427,0.0,0.0,0.0,0.0,0.0,155.45116,0.0,147.00592,150.53348,0.0,0.0,200.75763,0.0,226.59898,104.54279,0.0,164.69237,88.92679,55.57349,0.0,163.43953,411.61795,111.86612,0.0,88.47688,73.285416,0.0,280.93207,252.55237,301.94876,144.6227,0.0,164.77295,198.459,0.0,0.0,74.884544,227.38203,0.0,196.89137,263.94647,128.34834,121.41135,165.5291,0.0,0.0,474.75897,118.09062,424.6716,134.80246,156.68652,0.0,0.0,146.4982,157.07779,128.23813,0.0,129.56136,230.83029,0.0,119.20759,283.85727,68.51528,0.0,0.0,129.795,184.53554,191.46039,0.0,0.0,0.0,0.0,113.45898,224.69798,226.79993,260.3845,169.24266,0.0,185.96742,0.0,0.0,0.0,0.0,0.0,49.793148,167.47565,81.26068,248.42912,118.59571,173.83131,237.05725,70.32635,230.67868,0.0,177.417,0.0,91.24571,79.73016,266.83224,0.0,106.704155,0.0,222.05495,0.0,0.0,0.0,0.0,227.02563,162.48749,180.73325
000891.jpg,175.40227,138.9904,73.91761,0.0,140.09164,0.0,189.31172,252.31438,130.02283,0.0,185.34602,357.04175,0.0,133.52597,152.08827,269.32074,227.49916,183.53244,0.0,0.0,0.0,0.0,0.0,183.4962,0.0,150.578,76.82733,0.0,0.0,177.7922,0.0,167.61064,101.68748,0.0,123.72903,179.53516,162.21712,0.0,113.179276,232.80664,109.524704,0.0,162.57338,112.81382,0.0,189.96161,94.70395,135.19518,162.68602,0.0,164.3968,191.73631,0.0,0.0,117.59865,239.53334,0.0,175.37254,198.16113,50.758068,193.83055,182.80531,0.0,0.0,291.9328,125.48249,178.15977,200.84564,186.55066,0.0,0.0,248.53938,126.667755,183.03644,0.0,183.74191,165.99226,0.0,184.96492,304.8864,203.35416,0.0,0.0,241.68343,181.38622,132.55275,0.0,0.0,0.0,0.0,247.71158,5.6321487,264.8045,169.17525,265.34625,0.0,167.67244,0.0,0.0,0.0,0.0,0.0,158.43443,156.81088,143.60658,174.61398,214.39702,200.8977,204.47818,130.2594,107.19167,0.0,114.880684,0.0,82.57138,209.34557,222.97798,0.0,242.18521,0.0,147.04169,0.0,0.0,231.28102,0.0,199.9375,81.25792,218.71565
000996.jpg,112.29627,186.17284,149.26085,0.0,134.2372,0.0,121.74007,201.41888,62.764828,0.0,134.30444,197.71144,0.0,163.18399,180.68378,181.59288,191.76181,161.04404,0.0,0.0,0.0,0.0,0.0,167.26018,0.0,142.10631,116.5049,0.0,0.0,151.35118,0.0,130.6368,95.92482,0.0,206.71841,143.2839,96.12843,0.0,111.42406,89.495056,108.64975,0.0,109.96118,71.86239,0.0,287.7291,52.98554,113.65368,134.52177,0.0,139.23291,163.43681,0.0,0.0,159.49628,167.2542,0.0,168.36987,151.2048,27.02411,101.058754,44.30024,0.0,0.0,184.46452,103.104866,127.65963,192.96802,121.76698,0.0,0.0,113.2327,27.380087,214.98346,0.0,56.45366,181.71939,0.0,137.92633,191.25348,177.48874,0.0,0.0,166.46182,215.8473,159.78275,0.0,0.0,0.0,0.0,145.92274,79.57983,165.98221,192.50812,138.22296,0.0,117.22133,0.0,0.0,0.0,0.0,0.0,208.88046,119.541336,175.52422,135.84093,89.07788,131.94812,108.41508,136.67181,152.21178,0.0,132.58888,0.0,103.121704,205.76256,102.606964,0.0,150.67499,0.0,134.67087,0.0,0.0,149.40831,0.0,122.71173,98.80382,125.69937
